Team,Season,Tournament,Role,Player,player_page
Fluxo W7M,16,CBLOL 2026 Split 1,TOP,curty,https://gol.gg/players/player-stats/5601/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Fluxo W7M,16,CBLOL 2026 Split 1,JUNGLE,Peach,https://gol.gg/players/player-stats/3422/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Fluxo W7M,16,CBLOL 2026 Split 1,MID,cody,https://gol.gg/players/player-stats/2807/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Fluxo W7M,16,CBLOL 2026 Split 1,BOT,BAO,https://gol.gg/players/player-stats/2649/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Fluxo W7M,16,CBLOL 2026 Split 1,SUPPORT,Momochi,https://gol.gg/players/player-stats/4971/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
FURIA,16,CBLOL 2026 Split 1,TOP,Guigo,https://gol.gg/players/player-stats/3116/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
FURIA,16,CBLOL 2026 Split 1,JUNGLE,Tatu,https://gol.gg/players/player-stats/4776/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
FURIA,16,CBLOL 2026 Split 1,MID,Tutsz,https://gol.gg/players/player-stats/2709/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
FURIA,16,CBLOL 2026 Split 1,BOT,Ayu,https://gol.gg/players/player-stats/4976/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
FURIA,16,CBLOL 2026 Split 1,SUPPORT,JoJo,https://gol.gg/players/player-stats/2329/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Leviatan,16,CBLOL 2026 Split 1,TOP,Devost,https://gol.gg/players/player-stats/6183/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Leviatan,16,CBLOL 2026 Split 1,JUNGLE,Booki,https://gol.gg/players/player-stats/6182/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Leviatan,16,CBLOL 2026 Split 1,MID,Enga,https://gol.gg/players/player-stats/3517/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Leviatan,16,CBLOL 2026 Split 1,BOT,Snaker,https://gol.gg/players/player-stats/3914/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Leviatan,16,CBLOL 2026 Split 1,SUPPORT,TopLop,https://gol.gg/players/player-stats/2039/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Los Grandes,16,CBLOL 2026 Split 1,TOP,Zest,https://gol.gg/players/player-stats/4244/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Los Grandes,16,CBLOL 2026 Split 1,JUNGLE,Drakehero,https://gol.gg/players/player-stats/4485/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Los Grandes,16,CBLOL 2026 Split 1,MID,Feisty,https://gol.gg/players/player-stats/4234/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
